cluster,latitude,longitude,Cluster_Label
-1,41.721019913,-87.588352566,
-1,41.986354136,-87.810637318,
-1,41.992917015,-87.81036291,
-1,42.006595433,-87.813680067,
-1,41.677286615,-87.682391121,
-1,41.666070243,-87.549565678,
-1,41.995403819,-87.744195484,
-1,41.984346333,-87.652694909,
-1,41.989053775,-87.796814041,
-1,41.71355215,-87.545088451,
-1,42.009384227,-87.772431953,
-1,41.709319197,-87.680097724,
-1,42.017501828,-87.815111122,
-1,41.86449634,-87.668835922,
-1,41.990023467,-87.737480508,
-1,41.996529069,-87.711951622,
-1,42.015045072,-87.777990309,
-1,41.713284854,-87.670531203,
-1,41.880898957,-87.619048127,
-1,41.709280778,-87.680098113,
-1,41.874485426,-87.774461173,
-1,41.988130325,-87.76737699,
-1,41.78201837,-87.794264628,
-1,41.703639975,-87.711033482,
-1,41.816617988,-87.655357921,
-1,41.681907858,-87.534034817,
-1,41.703344988,-87.672929377,
-1,41.994988649,-87.887712704,
-1,41.960024938,-87.79434055,
-1,41.811916297,-87.655231431,
-1,41.746705803,-87.622882835,
-1,41.696196416,-87.714419002,
-1,41.795978247,-87.637910197,
-1,41.696009771,-87.714413468,
-1,41.797359432,-87.637590874,
-1,41.675019798,-87.575383714,
-1,41.972087778,-87.648504528,
-1,41.92248966,-87.630019531,
-1,41.714776143,-87.590402508,
-1,41.969384448,-87.807139295,
-1,41.812396434,-87.653355575,
-1,41.917056799,-87.630134301,
-1,41.769451446,-87.696020672,
-1,42.00373453,-87.769751613,
-1,41.816026266,-87.653676686,
-1,41.893327862,-87.602514088,
-1,41.813329205,-87.650532144,
-1,41.983342126,-87.826183234,
-1,41.953783081,-87.915105451,
-1,41.972063625,-87.646758038,
-1,41.676601926,-87.53822218,
-1,41.767590251,-87.702882897,
-1,42.013320454,-87.814674058,
-1,41.913122022,-87.804078305,
-1,41.816026266,-87.653676686,
-1,41.994300526,-87.914869723,
-1,41.695907489,-87.717340065,
-1,41.937517082,-87.838270981,
-1,41.716735046,-87.670631277,
-1,41.670234415,-87.539318057,
-1,41.81139508,-87.734249216,
-1,41.793515144,-87.613172626,
-1,42.007134716,-87.905815237,
-1,41.973217274,-87.903125912,
-1,41.687442712,-87.604120378,
-1,41.734234204,-87.599077593,
-1,41.859343915,-87.687339228,
-1,41.981206652,-87.752531772,
-1,41.993548553,-87.808040212,
-1,41.788411246,-87.798086948,
-1,41.710886806,-87.721075609,
-1,41.94345324,-87.693930558,
-1,41.778198811,-87.572648483,
-1,41.678612378,-87.540042376,
-1,41.846538806,-87.688734274,
-1,41.763703131,-87.741881018,
-1,41.994300526,-87.914869723,
-1,41.984458718,-87.729694395,
-1,41.997193305,-87.884463632,
-1,41.797344969,-87.724969623,
-1,41.960789926,-87.914585337,
-1,41.834565709,-87.712166691,
-1,41.669195896,-87.575320271,
-1,42.008899637,-87.810456469,
-1,41.97958268,-87.73659588,
-1,42.010454216,-87.779730213,
-1,41.994988649,-87.887712704,
-1,41.827592132,-87.728029551,
-1,41.98433727,-87.811871261,
-1,41.972650299,-87.803611519,
-1,41.859799527,-87.635743417,
-1,41.76924903,-87.696139979,
-1,41.819260516,-87.650689256,
-1,41.983645387,-87.799261213,
-1,41.92248966,-87.630019531,
-1,41.688249939,-87.557248535,
-1,41.763703131,-87.741881018,
-1,41.962447574,-87.917644638,
-1,41.683386421,-87.545068687,
-1,41.710813265,-87.584892232,
-1,41.873247786,-87.61813095,
-1,41.862033369,-87.609581242,
-1,41.945076101,-87.636571598,
-1,41.992919041,-87.755824304,
-1,41.973880053,-87.900583985,
-1,42.008548302,-87.772086067,
-1,41.91161499,-87.802198692,
-1,41.97551944,-87.827664847,
-1,41.923966133,-87.630481014,
-1,41.695907214,-87.717288805,
-1,41.697184418,-87.720572119,
-1,41.806606339,-87.628372467,
-1,41.99490617,-87.884854931,
-1,41.659169513,-87.562743051,
-1,41.671498365,-87.559257924,
-1,41.863716376,-87.688958249,
-1,41.735127299,-87.705794457,
-1,41.780054439,-87.578547737,
-1,41.911724987,-87.804031063,
-1,41.893327862,-87.602514088,
-1,41.952488977,-87.818788632,
-1,41.980783214,-87.903898835,
-1,41.981839674,-87.760547601,
-1,41.891443852,-87.734511813,
-1,41.703546653,-87.71103072,
-1,41.71355215,-87.545088451,
-1,41.65184905,-87.606355167,
-1,41.756765782,-87.595353691,
-1,42.010657789,-87.774172253,
-1,41.988051814,-87.746816014,
-1,41.702252634,-87.718923728,
-1,41.774334533,-87.80078124,
-1,41.990025466,-87.737337031,
-1,41.849369986,-87.66599383,
-1,41.694907438,-87.716620961,
-1,41.705490387,-87.717281562,
-1,42.006595433,-87.813680067,
-1,41.72227863,-87.589480908,
-1,41.997688382,-87.811394392,
-1,41.644607723,-87.613055128,
-1,41.974322865,-87.896498947,
-1,42.005344364,-87.807715073,
-1,41.665751876,-87.54956222,
-1,41.644606925,-87.608997659,
-1,41.710650323,-87.593207821,
-1,41.826517537,-87.629063988,
-1,41.995433619,-87.914045622,
-1,41.769451446,-87.696020672,
-1,41.805269084,-87.596755942,
-1,41.82712637,-87.732880775,
-1,41.812456531,-87.64868896,
-1,41.891393085,-87.736884879,
-1,41.687440781,-87.604248539,
-1,41.812456531,-87.64868896,
-1,41.875502823,-87.617132775,
-1,41.961861664,-87.84352791,
-1,41.991953375,-87.741335988,
-1,42.005351805,-87.807542085,
-1,41.907742643,-87.749579573,
-1,41.654371974,-87.583423661,
-1,41.687643974,-87.674722839,
-1,41.983883047,-87.652313648,
-1,41.873839561,-87.617092597,
-1,41.718381967,-87.678346674,
-1,41.823038231,-87.719538739,
-1,41.685504159,-87.604819553,
-1,41.819434927,-87.597169598,
-1,41.697444255,-87.713246284,
-1,41.738760669,-87.682587768,
-1,42.000315568,-87.773177503,
-1,41.667629215,-87.54437888,
-1,41.804853056,-87.67994613,
-1,42.008849028,-87.907073187,
-1,41.693871293,-87.7204388,
-1,41.705561736,-87.717280881,
-1,41.715004047,-87.665532299,
-1,41.995465322,-87.812545604,
-1,41.774887961,-87.784836494,
-1,41.993551391,-87.809261489,
-1,41.826846276,-87.709166655,
-1,41.860386278,-87.613424953,
-1,41.885969562,-87.612777909,
-1,41.97551944,-87.827664847,
-1,41.95524045,-87.924297997,
-1,41.687118766,-87.720166072,
-1,41.696522614,-87.712314098,
-1,41.998091671,-87.802988542,
-1,41.982619955,-87.742323561,
-1,41.977120582,-87.814419922,
-1,41.672582705,-87.539988307,
-1,41.644607723,-87.613055128,
-1,41.687643974,-87.674722839,
-1,41.735588515,-87.678289123,
-1,41.999109375,-87.817964397,
-1,41.810537269,-87.737107338,
-1,41.826846276,-87.709166655,
-1,41.990023467,-87.737480508,
-1,41.966428954,-87.845677099,
-1,41.785367664,-87.74314862,
