cluster,latitude,longitude,Cluster_Label
256,41.9535772665,-87.73419764650001,256.0
257,41.930361969,-87.687781609,257.0
258,41.831591205,-87.651842479,258.0
259,41.869563572000004,-87.743622093,259.0
260,41.744635441,-87.619552206,260.0
261,41.785827253,-87.733036535,261.0
262,41.963596071,-87.727902167,262.0
263,41.778047465,-87.586387726,263.0
264,41.747148569,-87.578771154,264.0
265,41.808328616,-87.643964604,265.0
266,41.756055045,-87.580972711,266.0
267,41.7618615285,-87.692132063,267.0
268,41.7111706585,-87.66573168299999,268.0
269,41.720216987,-87.6430967,269.0
270,41.922635121,-87.806211767,270.0
271,41.6863800805,-87.613198535,271.0
272,41.933181587,-87.797249979,272.0
273,41.785253786,-87.606035255,273.0
274,41.936042046,-87.736947889,274.0
275,41.98141162500001,-87.80694103100001,275.0
276,41.823381632,-87.712591726,276.0
277,41.671908102,-87.6285429995,277.0
278,41.723232136,-87.60758007449999,278.0
279,41.789996863,-87.78171915,279.0
280,41.859815277,-87.623977851,280.0
281,41.964260964999994,-87.776776457,281.0
282,41.727146827,-87.585403058,282.0
283,41.775429728,-87.640753492,283.0
284,41.692041778,-87.665923635,284.0
285,41.653745791,-87.599937561,285.0
286,41.697192014,-87.635288168,286.0
287,41.865237011,-87.646886199,287.0
288,41.778569045,-87.721198534,288.0
289,41.7135084125,-87.6393673915,289.0
290,41.977735052499995,-87.791904907,290.0
291,41.779975054,-87.630937377,291.0
292,41.938373711500006,-87.781945543,292.0
293,41.840174075,-87.71955896349999,293.0
294,41.92359553,-87.796486146,294.0
295,41.747041375,-87.59173506,295.0
296,41.787887116,-87.587934578,296.0
297,41.713387512,-87.550962321,297.0
298,41.691543913,-87.700786991,298.0
299,41.807295181,-87.59517333049999,299.0
300,41.687438474,-87.700674483,300.0
301,41.713821782,-87.63695788,301.0
302,41.953536247,-87.738500722,302.0
303,41.721439376,-87.615333412,303.0
304,41.985731267,-87.699256769,304.0
305,41.952220002,-87.733933057,305.0
306,41.980826277,-87.883611316,306.0
307,41.794110259,-87.75378443,307.0
308,41.9820178865,-87.77320982399999,308.0
309,41.730832469,-87.59570745650001,309.0
310,41.837951998,-87.618250651,310.0
311,41.834586423,-87.632777952,311.0
312,41.941821405,-87.690664522,312.0
313,41.964162213,-87.670900922,313.0
314,41.68995741,-87.637460623,314.0
315,41.970754201,-87.748668315,315.0
316,41.9902965755,-87.716728044,316.0
317,42.006275492,-87.6886952895,317.0
318,41.819472071,-87.608186034,318.0
319,41.80171934,-87.630703621,319.0
320,41.797801568,-87.619300725,320.0
321,41.775021674,-87.777206206,321.0
322,41.960293002,-87.7827108975,322.0
323,41.649605674,-87.535027004,323.0
324,41.946724511,-87.691501175,324.0
325,41.70269259,-87.526510087,325.0
326,41.696837528,-87.648071998,326.0
327,41.983461158,-87.711346552,327.0
328,41.718793816,-87.653720152,328.0
329,41.9767130755,-87.701719898,329.0
